"id","airport_ref","airport_ident","length_ft","width_ft","surface","lighted","closed","le_ident","le_latitude_deg","le_longitude_deg","le_elevation_ft","le_heading_degT","le_displaced_threshold_ft","he_ident","he_latitude_deg","he_longitude_deg","he_elevation_ft","he_heading_degT","he_displaced_threshold_ft"
265042,6547,"00MI",100,100,"TURF",0,0,"H1",,,,,,,,,,,
255865,6548,"00MN",2949,200,"TURF-G",1,0,"06",,,,,,"24",,,,,
254820,6549,"00MO",2400,25,"TURF",0,0,"08",,,,,,"26",,,,,
249208,6551,"00N",1900,150,"TURF-G",1,0,"18",,,,,,"36",,,,,
249382,6552,"00NC",2650,36,"ASPH-G",0,0,"05",,,,,,"23",,,,,
269409,6553,"00NJ",50,50,"ASPH",0,0,"H1",,,,,,,,,,,
506040,506039,"00NR",50,50,"CON",1,0,"H1",,,,,,,,,,,
248635,6554,"00NY",2350,80,"TURF",1,0,"03",,,,,,"21",,,,,
255568,6555,"00OH",2695,90,"TURF-G",0,0,"08",,,,,,"26",,,,,
269410,6556,"00OI",42,42,"CONC",0,0,"H1",,,,,,,,,,,
328512,328503,"00OK",2200,60,"Turf/Dirt",0,0,"17",,,,,,"35",,,,,
269411,6558,"00PA",80,80,"TURF-G",0,0,"H1",,,,,,,,,,,
264557,45773,"00PN",500,75,"TURF",0,0,"12",,,,,,"30",,,,,
251695,6559,"00PS",3100,100,"TURF-G",0,0,"08",,,,,1335,"26",,,,,1072
250124,6560,"00S",2600,90,"TURF-P",0,0,"06",,,,,,"24",,,,,
250457,6561,"00SC",2900,100,"TURF",0,0,"08",,,,,,"26",,,,,
330392,330391,"00SD",2400,50,"Turf",0,0,"18",,,,,,"36",,,,,
269412,6562,"00TA",85,85,"CONC-G",0,0,"H1",,,,,,,,,,,
269413,6563,"00TE",48,48,"TURF",0,0,"H1",,,,,,,,,,,
251439,6564,"00TN",1800,150,"TURF",0,0,"09",,,,,,"27",,,,,
248688,6565,"00TS",1200,45,"TURF",0,0,"01",,,,,,"19",,,,,
269414,6566,"00TX",50,50,"CONC",0,0,"H1",,,,,,,,,,,
251342,6568,"00VA",1300,100,"TURF",0,0,"01",,,,,,"19",,,,270,
247311,6569,"00VI",1500,50,"TURF",0,0,"09",,,,,,"27",,,,,
254777,6570,"00W",3400,50,"GRAVEL-F",0,0,"14",,,,,,"32",,,,,
247637,6571,"00WA",1105,70,"TURF-G",0,0,"08",,,,,,"26",,,,,
240309,6572,"00WI",1000,60,"TURF",0,0,"09",44.30419921875,-89.052001953125,,87.2,,"27",44.30440139770508,-89.04820251464844,,,200
250630,6573,"00WN",1440,50,"TURF-G",0,0,"05",,,,,,"23",,,,,
251212,6574,"00WV",1800,100,"TURF",0,0,"05",,,,,,"23",,,,,
253285,6575,"00XS",1475,75,"TURF-F",0,0,"17",,,,,,"35",,,,,
252236,6576,"01A",1175,40,"GRAVEL-F",0,0,"08",,,,,,"26",,,,,
265043,6577,"01AK",40,40,"CONC",1,0,"H1",,,,,,,,,,,
252134,6578,"01AL",2500,160,"TURF",1,0,"N",,,,,,"S",,,,,
265044,6579,"01AR",55,55,"CONC",1,0,"H1",,,,,,,,,,,
265045,6580,"01AZ",210,150,"TURF",0,0,"H1",,,,,,,,,,,
256815,6581,"01C",2517,120,"TURF-G",1,0,"09",43.34170150756836,-85.77989959716797,815,,387,"27",43.34170150756836,-85.77030181884766,815,,580
265046,6582,"01CA",20,20,"ASPH",0,0,"H1",,,,,,,,,,,
246361,6583,"01CL",3100,50,"ASPH-TRTD",1,0,"09",,,,,500,"27",,,,,
265047,6584,"01CN",60,60,"ASPH",0,0,"H1",,,,,,,,,,,
265048,6585,"01CO",125,40,"ASPH",0,0,"H1",,,,,,,,,,,
265049,6586,"01CT",70,70,"TURF-GRVL",0,0,"H1",,,,,,,,,,,
256042,6587,"01FA",2000,100,"TURF",0,0,"10",,,,,,"28",,,,,
256043,6587,"01FA",1500,100,"TURF",0,0,"18",,,,,,"36",,,,,
265050,6588,"01FD",110,110,"CONC",0,0,"H1",,,,,,,,,,,
254779,6589,"01FL",3000,50,"TURF",1,0,"18",,,,,,"36",,,,,800
265051,6590,"01GA",65,65,"CONC",0,0,"H1",,,,,,,,,,,
251847,6591,"01GE",2560,75,"TURF",0,0,"10",,,,,,"28",,,,,
253118,6592,"01IA",2575,50,"TURF-F",1,0,"17",,,,,275,"35",,,,,
258036,6530,"01ID",2894,100,"TURF-F",0,0,"14",42.611000061035156,-112.03500366210938,,,,"32",42.60369873046875,-112.03099822998047,,,
265052,6594,"01IL",416,216,"TURF",0,0,"H1",,,,,,,,,,,
265053,6595,"01IN",45,45,"ASPH",0,0,"H1",,,,,,,,,,,
252362,6596,"01IS",1300,100,"TURF",0,0,"09",,,,,,"27",,,,,
254664,6597,"01J",3365,125,"TURF-P",1,0,"18",30.690900802612305,-81.90640258789062,59,,795,"36",30.681699752807617,-81.90499877929688,59,,370
249830,6598,"01K",2460,110,"TURF-G",1,0,"17",,,1157,,,"35",,,,,
255679,6599,"01KS",2400,100,"TURF",0,0,"18",,,,,,"36",,,,,
265054,6600,"01KY",40,40,"CONC",0,0,"H1",,,,,,,,,,,
253175,6601,"01LA",2000,60,"TURF",0,0,"09",,,,,,"27",,,,,
253330,6602,"01LL",1600,70,"TURF",0,0,"02",,,,,,"20",,,,,
240115,6603,"01LS",1800,150,"TURF",0,0,"09",30.722700119018555,-91.0802001953125,,92.2,,"27",30.72249984741211,-91.07450103759766,,,
265055,6604,"01MA",32,32,"TURF",0,0,"H1",,,,,,,,,,,
257883,6605,"01MD",3500,100,"WATER",0,0,"16",,,,,,"34",,,,,
256660,6606,"01ME",5000,500,"WATER",0,0,"02",,,,,,"20",,,,,
256661,6606,"01ME",5000,500,"WATER",0,0,"15",,,,,,"33",,,,,
265056,6607,"01MI",50,50,"CONC",0,0,"H1",,,,,,,,,,,
249395,6608,"01MN",10000,600,"WATER",0,0,"E",,,,,,"W",,,,,
249396,6608,"01MN",10000,600,"WATER",0,0,"NW",,,,,,"SE",,,,,
269415,6609,"01MO",37,37,"CONC",0,0,"H1",,,,,,,,,,,
243448,6610,"01MT",5000,70,"ASPH-G",0,0,"13",48.79499816894531,-114.88600158691406,,148,,"31",48.78329849243164,-114.875,,,150
356170,356169,"01MU",54,54,"CON",0,0,"H1",,,,,,,,,,,
246908,6611,"01NC",3200,75,"TURF",1,0,"03",,,,,,"21",,,,,
246909,6611,"01NC",2000,75,"ASPH-TURF",0,0,"18",,,,,,"36",,,,,
252153,6612,"01NE",2750,50,"TURF",0,0,"10",,,,,,"28",,,,,
249329,6613,"01NH",600,50,"TURF",0,0,"17",,,,,,"35",,,,,
269416,6614,"01NJ",125,80,"ASPH",0,0,"H1",,,,,,,,,,,
264064,45537,"01NM",2700,70,"DIRT",0,0,"02",,,,,,"20",,,,,
269417,45537,"01NM",2000,70,"DIRT",0,0,"9",,,,,,"27",,,,,
506123,506122,"01NR",50,50,"Turf",0,0,"H1",,,,,,,,,,,
250998,6615,"01NV",2000,60,"GRVL",0,0,"18",,,,,,"36",,,,,
269418,6616,"01NY",100,75,"ASPH",0,0,"H1",,,,,,,,,,,
347921,347920,"01OH",100,100,"CON",1,0,"H1",,,,,,,,,,,
269419,6617,"01OI",30,30,"CONC-G",0,0,"H1",,,,,,,,,,,
253176,6618,"01OK",2640,25,"ASPH",1,0,"17",,,,,,"35",,,,,
345167,345166,"01OL",1600,75,"Turf",0,0,"5",34.360721588134766,-96.7364730834961,1058,50,,"23",34.3930549621582,-96.68888854980469,1043,230,
249546,6619,"01OR",4800,60,"GRVL-DIRT",0,0,"07",,,,,,"25",,,,,
269420,6620,"01PA",60,60,"TURF",0,0,"H1",,,,,,,,,,,
254074,6621,"01PN",1700,100,"TURF",0,0,"06",,,,,,"24",,,,,
255854,6622,"01PS",1200,120,"TURF-G",0,0,"03",,,,,,"21",,,,,
255011,6623,"01SC",2580,118,"TURF-F",1,0,"18",,,,,,"36",,,,,
269421,6624,"01TA",30,30,"CONC",0,0,"H1",,,,,,,,,,,
253218,6625,"01TE",2433,55,"TURF-F",0,0,"04",,,,,,"22",,,,,
255290,6626,"01TN",2700,100,"TURF",0,0,"18",,,,,,"36",,,,,
254937,6628,"01TX",500,60,"TURF",0,0,"09",,,,,,"27",,,,,
254938,6628,"01TX",700,60,"TURF",0,0,"18",,,,,,"36",,,,,
248178,6629,"01U",2700,75,"DIRT-P",0,0,"03",,,,,,"21",,,,,
248179,6629,"01U",3400,80,"DIRT-P",0,0,"15",,,,,,"33",,,,,
250607,6630,"01UT",3200,40,"DIRT-P",0,0,"E",,,,,,"W",,,,,
248071,6631,"01VA",1500,60,"TURF",0,0,"03",,,,,,"21",,,,,
269422,6632,"01WA",36,36,"CONC",0,0,"H1",,,,,,,,,,,
239731,6633,"01WI",2300,120,"TURF",0,0,"01",44.00559997558594,-90.3905029296875,,9.6,,"19",44.01179885864258,-90.38919830322266,,,
269423,6634,"01WN",40,40,"ASPH",1,0,"H1",,,,,,,,,,,
264636,45900,"01WT",28,28,"CONC-G",0,0,"H1",,,,,,,,,,,
256957,6635,"01WY",4360,75,"DIRT-TURF-G",0,0,"12",,,,,,"30",,,,,
256958,6635,"01WY",2600,65,"DIRT-TURF-G",0,0,"16",,,,,,"34",,,,,
270898,46288,"01XA",50,50,"CONC",1,0,"H1",,,,,,"H1",,,,,
269424,6636,"01XS",50,50,"CONC",0,0,"H1",,,,,,,,,,,
253115,6637,"02AK",2200,45,"GRVL",0,0,"15",,,,,,"33",,,,,
254694,6638,"02AL",2000,150,"TURF",0,0,"18",,,,,,"36",,,,,
247597,43030,"02AR",4400,45,"ASPH-G",0,0,"07",,,,,600,"25",,,,,600
250723,6640,"02AZ",4500,80,"TURF",0,0,"17",,,,,,"35",,,,,
265057,6641,"02CA",55,55,"PSP",0,0,"H1",,,,,,,,,,,
252831,6642,"02CD",2500,100,"CONC-TURF",0,0,"15",,,,,,"33",,,,,
249787,6643,"02CL",3000,60,"DIRT",0,0,"16",,,,,,"34",,,,,
255048,6644,"02CO",2670,50,"GRAVEL",0,0,"17",,,,,,"35",,,,,
265058,6645,"02CT",50,50,"ASPH",0,0,"H1",,,,,,,,,,,
246559,6646,"02FA",2485,150,"TURF",0,0,"18",,,,,,"36",,,,,
341547,341544,"02FD",3443,150,"Turf",0,0,"1",30.947599411010742,-86.63600158691406,190,,,"19",30.95709991455078,-86.63490295410156,209,,
264162,45347,"02FL",1800,100,"TURF-F",0,0,"12",,,,,,"30",,,,,
255300,6648,"02GA",1200,100,"TURF",0,0,"08",,,,,,"26",,,,,
255301,6648,"02GA",1500,100,"TURF",0,0,"13",,,,,,"31",,,,,
256885,6649,"02GE",3400,100,"TURF",0,0,"09",,,,,,"27",,,,,
265059,6650,"02HI",100,100,"CONC",0,0,"H1",,,,,,,,,,,
265060,6651,"02IA",50,50,"CONC",0,0,"H1",,,,,,,,,,,
252347,6652,"02ID",2000,100,"TURF",0,0,"NE",,,,,,"SW",,,,,
250386,6653,"02II",1100,100,"TURF",0,0,"10",,,,,200,"28",,,,,
252716,6654,"02IN",1020,150,"TURF",0,0,"09",,,,,,"27",,,,,
265061,6655,"02IS",40,40,"MATS",0,0,"H1",,,,,,,,,,,
248000,6656,"02KS",1650,100,"TURF",0,0,"11",,,,,,"29",,,,,
248001,6656,"02KS",1950,150,"TURF",0,0,"18",,,,,,"36",,,,,
265062,6657,"02KY",100,100,"CONC",0,0,"H1",,,,,,,,,,,
265063,6658,"02LA",20,20,"CONC",0,0,"H1",,,,,,,,,,,
265064,6659,"02LS",24,24,"CONC",0,0,"H1",,,,,,,,,,,
265065,6660,"02MA",50,50,"ASPH",0,0,"H1",,,,,,,,,,,
506080,322099,"02MD",2000,75,"Turf",0,0,"9",,,,,,"27",,,,,
250960,6661,"02ME",2400,60,"TURF",0,0,"14",,,,,,"32",,,,,
254744,6662,"02MI",2000,100,"TURF",0,0,"09",,,,,,"27",,,,,
254275,6663,"02MN",1897,192,"TURF-P",0,0,"03",,,,,,"21",,,,,
254276,6663,"02MN",2500,192,"TURF-F",0,0,"12",,,,,,"30",,,,,
254277,6663,"02MN",2553,82,"TURF-P",0,0,"13",,,,,,"31",,,,,
254497,6664,"02MO",2200,50,"TURF-G",0,0,"08",,,,,,"26",,,,,
254981,6665,"02MS",2150,60,"TURF-F",0,0,"12",,,,,,"30",,,,,
247902,6667,"02MU",1900,125,"TURF",0,0,"N",,,,,,"S",,,,,
264707,45686,"02NC",100,100,"TURF",0,0,"H1",,,,,,,,,,,
247920,6669,"02NH",3000,300,"WATER",0,0,"18W",,,,,,"36W",,,,,
269425,6669,"02NH",20,20,"TURF",0,0,"H1",,,,,,,,,,,
506037,506036,"02NR",50,50,"Turf",0,0,"H1",,,,,,,,,,,
254643,6671,"02NV",2200,50,"TURF",0,0,"09",,,,,,"27",,,,,
269426,6672,"02NY",25,25,"TURF",0,0,"H1",,,,,,,,,,,
256138,6673,"02OH",2750,50,"TURF",0,0,"09",,,,,,"27",,,,,
246764,6674,"02OI",1500,75,"TURF",0,0,"E",,,,,,"W",,,,,
256203,6676,"02OR",2000,30,"TURF",0,0,"E",,,,,,"W",,,,,
269427,6677,"02P",100,100,"TURF-G",1,0,"H1",,,,,,,,,,,
269428,6678,"02PA",60,50,"TURF-GRVL",0,0,"H1",,,,,,,,,,,
269429,6679,"02PN",40,40,"ASPH",0,0,"H1",,,,,,,,,,,
249606,6680,"02PR",2000,50,"TURF",0,0,"06",,,,,,"24",,,,,
256249,6681,"02PS",500,100,"TURF",0,0,"01",,,,,,"19",,,,,
254954,6682,"02SC",3600,150,"TURF-G",0,0,"04",,,,,,"22",,,,,
256315,6683,"02T",4050,60,"DIRT-G",0,0,"02",,,,,,"20",,,,,
269430,6684,"02TA",32,32,"CONC",0,0,"H1",,,,,,,,,,,
269431,6685,"02TE",40,40,"CONC",1,0,"H1",,,,,,,,,,,
257585,6686,"02TN",1600,120,"TURF",0,0,"11",,,,,,"29",,,,,
253685,6688,"02TX",4800,80,"TURF",0,0,"17",,,,,,"35",,,,,240
256179,6689,"02UT",4000,30,"DIRT",0,0,"07",,,,,,"25",,,,,
256180,6689,"02UT",4000,50,"DIRT-P",0,0,"16",,,,,,"34",,,,,
247487,6690,"02VA",3000,80,"TURF",0,0,"18",,,,,,"36",,,,,500
253964,6692,"02WA",2650,50,"TURF",0,0,"16",,,,,,"34",,,,,
253202,6693,"02WI",2200,60,"TURF",0,0,"18",,,,,800,"36",,,,,
251734,6694,"02WN",1500,30,"DIRT",0,0,"13",,,,,,"31",,,,,
330469,330393,"02XA",1950,50,"Turf",0,0,"18",,,,,,"36",,,,,
251224,6695,"02XS",1500,40,"TURF",0,0,"02",,,,,,"20",,,,,
251225,6695,"02XS",1320,40,"TURF",0,0,"11",,,,,,"29",,,,,
248733,6696,"03AK",1000,70,"DIRT",0,0,"07",,,,,,"25",,,,,
248735,6696,"03AK",6000,500,"WATER",0,0,"N",,,,,,"S",,,,,
248734,6696,"03AK",2600,500,"WATER",0,0,"NE",,,,,,"SW",,,,,
265066,6697,"03AL",50,50,"CONC",1,0,"H1",,,,,,,,,,,
265067,6698,"03AR",117,117,"CONC",1,0,"H1",,,,,,,,,,,
248069,6699,"03AZ",3600,60,"DIRT",1,0,"E",,,,,,"W",,,,,
265068,6700,"03CA",40,40,"CONC",1,0,"H1",,,,,,,,,,,
245857,6701,"03CO",4000,30,"ASPH-G",0,0,"13",40.21670150756836,-104.7490005493164,4900,140,,"31",40.20830154418945,-104.73999786376953,4950,,
248602,6702,"03FA",2000,200,"TURF",0,0,"E",,,,,,"W",,,,,
258132,6703,"03FD",2000,50,"TURF-G",0,0,"09",,,,,200,"27",,,,,1070
265069,6704,"03FL",50,40,"CONC",0,0,"H1",,,,,,,,,,,
322728,322717,"03GA",1990,65,"Turf",0,0,"10",,,,,,"28",,,,,
322729,322717,"03GA",1955,60,"Turf",0,0,"11",,,,,,"29",,,,,
255699,6705,"03I",2375,90,"TURF-G",0,0,"13",,,,58,,"31",,,,238,
344643,6706,"03IA",2000,150,"GRS",0,0,"N",,,,,,"S",,,,,
254224,6707,"03ID",1800,100,"TURF",0,0,"11",,,,,,"29",,,,,
254122,6708,"03II",1000,200,"TURF",0,0,"N",,,,,,"S",,,,,
254941,6709,"03IL",2600,105,"TURF",0,0,"18",,,,,,"36",,,,,
265070,6711,"03IS",40,40,"CONC",0,0,"H1",,,,,,,,,,,
265071,6712,"03KS",25,25,"GRAVEL",0,0,"H1",,,,,,,,,,,
250552,6713,"03KY",2300,80,"TURF",0,0,"03",,,,,,"21",,,,,
265072,6714,"03LA",60,60,"TURF",0,0,"H1",,,,,,,,,,,
265073,6715,"03LS",40,40,"CONC",1,0,"H1",,,,,,,,,,,
258174,6716,"03M",3800,200,"WATER",0,0,"02",,,,,,"20",,,,,
256543,6717,"03MA",1600,60,"TURF",0,0,"12",,,,,,"30",,,,,
265074,6718,"03MD",50,50,"CONC",1,0,"H1",,,,,,,,,,,
251983,6719,"03ME",2400,90,"TURF",0,0,"18",,,,,,"36",,,,,
265075,6720,"03MI",20,20,"TURF",0,0,"H1",,,,,,,,,,,
254015,6721,"03MN",1940,75,"TURF",0,0,"17",,,,,,"35",,,,,
256583,6722,"03MO",2200,50,"TURF",0,0,"15",,,,,,"33",,,,,
265076,6723,"03MS",60,60,"CONC",0,0,"H1",,,,,,,,,,,
252674,6725,"03MU",2400,24,"ASPH",1,0,"17",,,,,,"35",,,,,
247862,4650,"03N",2400,50,"GRVL",0,0,"07",,,,,,"25",,,,,
255474,6726,"03NC",2750,40,"ASPH-G",0,0,"09",,,,,,"27",,,,,
253422,6727,"03ND",2600,50,"TURF",0,0,"17",,,,,,"35",,,,,
248631,6728,"03NE",2200,200,"TURF",0,0,"01",,,,,,"19",,,,,
269432,6729,"03NH",12,80,"ASPH",0,0,"H1",,,,,,,,,,,
250930,6731,"03NV",3200,30,"TURF-P",0,0,"18",,,,,,"36",,,,,
256491,6732,"03NY",2000,75,"TURF",0,0,"16",,,,,,"34",,,,,
247680,6733,"03OH",2100,60,"TURF",0,0,"N",,,,,,"S",,,,,
247679,6733,"03OH",2200,60,"TURF",0,0,"NE",,,,,,"SW",,,,,
269433,6734,"03OI",60,60,"CONC",0,0,"H1",,,,,,,,,,,
248677,6735,"03OK",1200,50,"TURF",0,0,"18",,,,,,"36",,,,,
348549,348548,"03OL",1900,30,"Turf",0,0,"18",,,1232,,,"36",,,1221,,
250205,6736,"03OR",2950,60,"CONC",0,0,"07",,,,,,"25",,,,,
269434,6737,"03PA",130,80,"ASPH",0,0,"H1",,,,,,,,,,,
269435,6738,"03PN",100,100,"TURF",0,0,"H1",,,,,,,,,,,
322893,322892,"03PR",2926,65,"Turf",0,0,"9",,,,,,"27",,,,,
254174,6739,"03PS",675,90,"TURF-G",0,0,"14",,,,,,"32",,,,,150
254175,6739,"03PS",925,90,"TURF-G",0,0,"16",,,,,,"34",,,,,150
254176,6739,"03PS",1130,90,"TURF-G",0,0,"18",,,,,,"36",,,,,300
252715,6740,"03S",2115,100,"TURF-G",0,0,"08",,,,,,"26",,,,,
269436,6741,"03SC",40,40,"CONC",1,0,"H1",,,,,,,,,,,
256656,6743,"03TE",3500,100,"TURF",0,0,"12",,,,,,"30",,,,,
269437,6744,"03TN",20,20,"TURF",0,0,"H1",,,,,,,,,,,
269438,6745,"03TS",90,90,"ASPH",0,0,"H1",,,,,,,,,,,
341552,341551,"03TT",3000,50,"Turf",0,0,"18",,,117,,,"36",,,117,,
269439,6746,"03TX",150,150,"TURF",0,0,"H1",,,,,,,,,,,
256580,6747,"03UT",5000,35,"GRAVEL",0,0,"NE",,,,,,"SW",,,,,
256581,6747,"03UT",3250,35,"GRAVEL",0,0,"NW",,,,,,"SE",,,,,
252650,6749,"03WA",2800,60,"GRAVEL",0,0,"18",,,,,,"36",,,,,
254284,6750,"03WI",1500,60,"TURF",0,0,"N",,,,,,"S",,,,,
257028,6751,"03WN",2000,70,"GRVL",0,0,"07",,,,,,"25",,,,,
345758,345757,"03XA",54,54,"CON",0,0,"H1",,,,,,,,,,,
255081,6752,"03XS",3200,50,"TURF-DIRT",0,0,"04",,,,,,"22",,,,,
255082,6752,"03XS",1600,50,"TURF",0,0,"15",,,,,,"33",,,,,
325444,325443,"04AA",1300,100,"Turf",0,0,"16",,,,,,"34",,,,,
325445,325443,"04AA",825,68,"Turf",0,0,"5",,,,,,"23",,,,,
265077,6753,"04AL",100,100,"ASPH",0,0,"H1",,,,,,,,,,,
265078,6754,"04AR",40,40,"ASPH",1,0,"H1",,,,,,,,,,,
240582,6756,"04CA",5000,150,"ASPH",0,0,"08",34.56399917602539,-117.68299865722656,,91.2,,"26",34.56370162963867,-117.66699981689453,,,
253718,6757,"04CL",1900,100,"GRVL-DIRT",0,0,"08",,,,,,"26",,,,,600
265079,6758,"04CT",50,100,"TURF",0,0,"H1",,,,,,,,,,,
328589,6759,"04F",2400,20,"ASP",0,1,"15",,,,,,"33",,,,,
248386,6760,"04FA",2620,212,"TURF",0,0,"09",,,,,,"27",,,,,
254455,6761,"04FL",3000,100,"TURF",0,0,"09",,,,,,"27",,,,,
251866,6762,"04I",2382,120,"TURF-G",1,0,"06",39.90919876098633,-83.19280242919922,920,,,"24",39.91310119628906,-83.18470001220703,920,,
250269,6763,"04IA",2310,84,"TURF-G",0,0,"18",,,,,,"36",,,,,
248055,6764,"04ID",3000,25,"DIRT-F",0,0,"07",,,,,,"25",,,,,
247381,6765,"04II",1372,72,"TURF",0,0,"18",,,,,,"36",,,,,
258147,6766,"04IL",1700,70,"TURF",0,0,"N",,,,,,"S",,,,,
264167,45410,"04IN",4000,1000,"WATER",0,0,"13W",,,,,,"31W",,,,,
252471,6767,"04IS",2200,150,"TURF",0,0,"09",,,,,400,"27",,,,,
265080,6768,"04KS",400,60,"TURF-GRVL",0,0,"H1",,,,,,,,,,,
249845,6769,"04KY",1700,30,"ASPH",0,0,"15",,,,,,"33",,,,,
265081,6770,"04LA",40,40,"CONC",1,0,"H1",,,,,,,,,,,
256788,6771,"04LL",3700,70,"TURF",0,0,"09",,,,,,"27",,,,,
265082,6772,"04LS",60,60,"CONC-G",0,0,"H1",,,,,,,,,,,
255931,6773,"04MA",2100,300,"TURF",0,0,"16",,,,,,"34",,,,,
265083,6774,"04MD",50,50,"ASPH",1,0,"H1",,,,,,,,,,,
250921,6775,"04ME",1950,120,"TURF",0,0,"15",,,,,,"33",,,,,
249123,6776,"04MI",2000,100,"TURF-G",0,0,"18",,,,,450,"36",,,,,225
253156,6777,"04MN",2500,150,"TURF",0,0,"10",,,,,,"28",,,,,
247380,6778,"04MO",2600,150,"TURF",0,0,"18",,,,,,"36",,,,,
239977,6779,"04MS",3400,100,"ASPH-TURF",0,0,"17",32.94419860839844,-90.8373031616211,,180,,"35",32.934898376464844,-90.8373031616211,,,
247254,6780,"04MT",2100,100,"TURF",0,0,"E",,,,,,"W",,,,,
247255,6780,"04MT",1900,100,"TURF",0,0,"N",,,,,,"S",,,,,
269440,6781,"04NC",91,35,"ASPH",0,0,"H1",,,,,,,,,,,
250070,6782,"04NE",2500,100,"TURF",0,0,"N",,,,,,"S",,,,,
249124,6783,"04NJ",3500,50,"TURF",1,0,"08",,,,,600,"26",,,,,300
347888,347887,"04NR",78,36,"CON",0,0,"H1",,,,,,,,,,,
240873,6784,"04NV",3240,45,"ASPH",1,0,"02",35.751800537109375,-115.66799926757812,,33.5,,"20",35.75920104980469,-115.66200256347656,,,
256237,6785,"04NY",5200,50,"TURF",0,0,"02",,,,,,"20",,,,,1700
264637,45733,"04OG",50,100,"CONC",0,0,"H1",,,,,,,,,,,
257547,6786,"04OH",2200,70,"TURF",0,0,"N",,,,,,"S",,,,,
269441,6787,"04OK",45,45,"CONC",0,0,"H1",,,,,,,,,,,
269442,6789,"04PA",100,100,"CONC",0,0,"H1",,,,,,,,,,,
269443,6790,"04PN",70,70,"CONC",0,0,"H1",,,,,,,,,,,
269444,6791,"04SC",50,50,"CONC",0,0,"H1",,,,,,,,,,,
325774,325773,"04SD",46,46,"CON",0,0,"H1",,,2437,,,"H1",,,,,
269445,6792,"04TA",60,40,"CONC",0,0,"H1",,,,,,,,,,,
269446,6793,"04TE",30,30,"TURF",0,0,"H1",,,,,,,,,,,
248352,6794,"04TN",3000,50,"ASPH",0,0,"01",,,,,,"19",,,,,
269447,6795,"04TS",20,20,"TURF",0,0,"H1",,,,,,,,,,,
342439,342438,"04TT",4645,55,"ASP",0,0,"18",29.719541549682617,-99.54539489746094,1550,,,"36",29.706689834594727,-99.54586029052734,1523,,
254703,6796,"04TX",2000,50,"TURF",0,0,"12",,,,,,"30",,,,,
251630,6797,"04UT",3700,50,"DIRT",0,0,"04",,,,,,"22",,,,,
248135,6798,"04V",7745,55,"GRVL-G",0,0,"10",38.10409927368164,-106.18599700927734,,118,,"28",38.09410095214844,-106.16300201416016,,298,
269448,6799,"04VA",50,50,"CONC",1,0,"H1",,,,,,,,,,,
249896,6800,"04VG",3500,80,"TURF-F",0,0,"01",,,,,,"19",,,,,
249897,6800,"04VG",1800,70,"TURF-F",0,0,"11",,,,,,"29",,,,,
252792,6801,"04VT",1300,40,"TURF",0,0,"06",,,,,,"24",,,,,
